,Tp,Te,Hs,Pw
0,1.7505000000000002,1.5,0.25,24.396409626312888
1,2.9175,2.5,0.25,159.49592654435605
2,2.9175,2.5,0.75,1435.6910036689085
3,4.0845,3.5,0.25,220.1460488047195
4,4.0845,3.5,0.75,1802.7157273975
5,4.0845,3.5,1.25,4671.340128654699
6,5.2515,4.5,0.25,144.15224269428992
7,5.2515,4.5,0.75,1159.8576779485065
8,5.2515,4.5,1.25,3048.0266642589595
9,5.2515,4.5,1.75,5771.62255235627
10,6.4185,5.5,0.25,82.36882958482335
11,6.4185,5.5,0.75,677.8610146215274
12,6.4185,5.5,1.25,1787.5350003553142
13,6.4185,5.5,1.75,3382.100070802504
14,6.4185,5.5,2.25,5543.473580212703
15,7.585500000000001,6.5,0.25,46.027523045983884
16,7.585500000000001,6.5,0.75,388.15870400353
17,7.585500000000001,6.5,1.25,1043.377630646112
18,7.585500000000001,6.5,1.75,1972.5287767021941
19,7.585500000000001,6.5,2.25,3159.6231408138465
20,7.585500000000001,6.5,2.75,4629.553853867392
21,7.585500000000001,6.5,3.25,6409.450953704159
22,7.585500000000001,6.5,3.75,8246.19156755449
23,8.7525,7.5,0.25,27.04040805042925
24,8.7525,7.5,0.75,233.93084693122876
25,8.7525,7.5,1.25,634.5053737369951
26,8.7525,7.5,1.75,1193.7515768473795
27,8.7525,7.5,2.25,1950.5407596214172
28,8.7525,7.5,2.75,2841.6248657253973
29,8.7525,7.5,3.25,3870.5394913305436
30,8.7525,7.5,3.75,5065.212718635598
31,8.7525,7.5,4.25,6524.9070719782
32,9.919500000000001,8.5,0.25,16.741408046956657
33,9.919500000000001,8.5,0.75,146.7877272155584
34,9.919500000000001,8.5,1.25,394.2835564500374
35,9.919500000000001,8.5,1.75,760.3458069196787
36,9.919500000000001,8.5,2.25,1232.3528159132366
37,9.919500000000001,8.5,2.75,1812.0965515629669
38,9.919500000000001,8.5,3.25,2458.2412491530013
39,9.919500000000001,8.5,3.75,3243.263422050405
40,9.919500000000001,8.5,4.25,4066.821809519448
41,9.919500000000001,8.5,4.75,4996.217503058512
42,9.919500000000001,8.5,5.25,6084.626474786992
43,11.086500000000001,9.5,0.25,10.870976638475732
44,11.086500000000001,9.5,0.75,94.44720704225342
45,11.086500000000001,9.5,1.25,255.20160303739164
46,11.086500000000001,9.5,1.75,491.0343835217714
47,11.086500000000001,9.5,2.25,800.0378526350166
48,11.086500000000001,9.5,2.75,1164.1888222576295
49,11.086500000000001,9.5,3.25,1593.9678677605302
50,11.086500000000001,9.5,3.75,2075.7511194606136
51,11.086500000000001,9.5,4.25,2671.1192980500473
52,11.086500000000001,9.5,4.75,3275.5876634133974
53,11.086500000000001,9.5,5.25,3945.440550492798
54,11.086500000000001,9.5,5.75,4715.530315484655
