,Tp,Te,Hs,Pw
0,1.7505000000000002,1.5,0.25,9.809854914386673
1,2.9175,2.5,0.25,2.9040457019993866
2,2.9175,2.5,0.75,23.8759273802018
3,4.0845,3.5,0.25,0.8804222031430186
4,4.0845,3.5,0.75,7.466057101655812
5,4.0845,3.5,1.25,19.719649987915744
6,5.2515,4.5,0.25,0.3226757375494359
7,5.2515,4.5,0.75,2.78812370925949
8,5.2515,4.5,1.25,7.475807823918925
9,5.2515,4.5,1.75,14.212580598332384
10,6.4185,5.5,0.25,0.13352983325775045
11,6.4185,5.5,0.75,1.1673886816200105
12,6.4185,5.5,1.25,3.173639641735371
13,6.4185,5.5,1.75,6.071418613729993
14,6.4185,5.5,2.25,9.891667830397044
15,7.585500000000001,6.5,0.25,0.06267737353612005
16,7.585500000000001,6.5,0.75,0.550886472278878
17,7.585500000000001,6.5,1.25,1.4943341189680028
18,7.585500000000001,6.5,1.75,2.8660335716228795
19,7.585500000000001,6.5,2.25,4.655909987098635
20,7.585500000000001,6.5,2.75,6.8351482795240095
21,7.585500000000001,6.5,3.25,9.426345315938441
22,7.585500000000001,6.5,3.75,12.946211625019263
23,8.7525,7.5,0.25,0.02451866295974677
24,8.7525,7.5,0.75,0.21879788357482788
25,8.7525,7.5,1.25,0.6031982421584388
26,8.7525,7.5,1.75,1.1712157554602807
27,8.7525,7.5,2.25,1.9239411510015754
28,8.7525,7.5,2.75,2.8569078514119317
29,8.7525,7.5,3.25,4.014903962182615
30,8.7525,7.5,3.75,5.470696939750717
31,8.7525,7.5,4.25,6.999236450555649
32,9.919500000000001,8.5,0.25,0.009661930300522224
33,9.919500000000001,8.5,0.75,0.08667457982692628
34,9.919500000000001,8.5,1.25,0.23934131821824606
35,9.919500000000001,8.5,1.75,0.4674528940224539
36,9.919500000000001,8.5,2.25,0.76940247447086
37,9.919500000000001,8.5,2.75,1.152246174161435
38,9.919500000000001,8.5,3.25,1.6033875826065462
39,9.919500000000001,8.5,3.75,2.167297742703939
40,9.919500000000001,8.5,4.25,2.857249485353469
41,9.919500000000001,8.5,4.75,3.6616115816164703
42,9.919500000000001,8.5,5.25,4.83686849317857
43,11.086500000000001,9.5,0.25,0.00469209650972893
44,11.086500000000001,9.5,0.75,0.04175858122336721
45,11.086500000000001,9.5,1.25,0.11513480651119645
46,11.086500000000001,9.5,1.75,0.22644894375184454
47,11.086500000000001,9.5,2.25,0.39530354598455386
48,11.086500000000001,9.5,2.75,0.6082701384491505
49,11.086500000000001,9.5,3.25,0.9372682962876108
50,11.086500000000001,9.5,3.75,1.4546072456787862
51,11.086500000000001,9.5,4.25,2.506618586977533
52,11.086500000000001,9.5,4.75,3.235898383140634
53,11.086500000000001,9.5,5.25,4.840473010885251
54,11.086500000000001,9.5,5.75,6.425628553780328
55,11.086500000000001,9.5,6.25,8.49594549980448
56,12.2535,10.5,0.25,0.0025836277936003593
57,12.2535,10.5,0.75,0.02307865069671258
58,12.2535,10.5,1.25,0.06361186312843743
59,12.2535,10.5,1.75,0.12389073912000409
60,12.2535,10.5,2.25,0.20589854672678515
61,12.2535,10.5,2.75,0.3408014362171746
62,12.2535,10.5,3.25,0.45387585820542636
63,12.2535,10.5,3.75,0.7679280442483614
64,12.2535,10.5,4.25,1.1044648194128421
65,12.2535,10.5,4.75,1.6683514500164458
66,12.2535,10.5,5.25,2.7534229280705977
67,12.2535,10.5,5.75,3.7355153809433457
68,12.2535,10.5,6.25,4.819834397753001
69,12.2535,10.5,6.75,5.976206346530117
70,12.2535,10.5,7.25,7.469018727869974
71,12.2535,10.5,7.75,9.096754379125166
72,12.2535,10.5,8.25,11.925955307203793
73,13.4205,11.5,0.25,0.0015137955538609008
74,13.4205,11.5,0.75,0.013655877214773703
75,13.4205,11.5,1.25,0.037754209229833705
76,13.4205,11.5,1.75,0.07328503836882513
77,13.4205,11.5,2.25,0.12289247863134792
78,13.4205,11.5,2.75,0.18546698530515768
79,13.4205,11.5,3.25,0.2609268096717488
80,13.4205,11.5,3.75,0.39633479953828155
81,13.4205,11.5,4.25,0.6233034311654797
82,13.4205,11.5,4.75,1.0330270342070473
83,13.4205,11.5,5.25,1.4762228862695075
84,13.4205,11.5,5.75,2.4453619139498564
85,13.4205,11.5,6.25,3.0203404878613713
86,13.4205,11.5,6.75,4.168982704306035
87,13.4205,11.5,7.25,4.783811147064699
88,13.4205,11.5,7.75,6.466753038383283
89,13.4205,11.5,8.25,8.102016216218509
90,13.4205,11.5,8.75,9.166557735174065
91,14.5875,12.5,0.25,0.0009527233826610907
92,14.5875,12.5,0.75,0.008630609047900735
93,14.5875,12.5,1.25,0.02394019352159512
94,14.5875,12.5,1.75,0.046137732987437355
95,14.5875,12.5,2.25,0.07652633735455468
96,14.5875,12.5,2.75,0.11467848825525749
97,14.5875,12.5,3.25,0.1624995696629407
98,14.5875,12.5,3.75,0.23647033241298085
99,14.5875,12.5,4.25,0.45359813674453475
100,14.5875,12.5,4.75,0.6025020040938527
101,14.5875,12.5,5.25,0.8896707968087807
102,14.5875,12.5,5.75,1.4604856626354268
103,14.5875,12.5,6.25,2.1690464654244184
104,14.5875,12.5,6.75,2.8871054539020915
105,14.5875,12.5,7.25,3.4117366485242036
106,14.5875,12.5,7.75,4.724794803564645
107,14.5875,12.5,8.25,5.738355094543254
108,14.5875,12.5,8.75,6.950642154903321
109,15.7545,13.5,0.25,0.0006250940603025929
110,15.7545,13.5,0.75,0.005636871700048225
111,15.7545,13.5,1.25,0.01568932935752611
112,15.7545,13.5,1.75,0.030205720999675528
113,15.7545,13.5,2.25,0.049640126584244305
114,15.7545,13.5,2.75,0.0736968913894519
115,15.7545,13.5,3.25,0.10425790293598922
116,15.7545,13.5,3.75,0.14449600221535513
117,15.7545,13.5,4.25,0.24809005242897336
118,15.7545,13.5,4.75,0.3489705642542532
119,15.7545,13.5,5.25,0.6874596235557477
120,15.7545,13.5,5.75,0.7729940918784681
121,15.7545,13.5,6.25,1.0955166024742193
122,15.7545,13.5,6.75,1.9111553913896009
123,15.7545,13.5,7.25,2.5525496342342526
124,15.7545,13.5,7.75,3.476347250093692
125,15.7545,13.5,8.25,3.989335642970641
126,15.7545,13.5,8.75,4.469038669864684
