,Tp,Te,Hs,Pw
0,1.7505000000000002,1.5,0.25,139.70582885223786
1,2.9175,2.5,0.25,431.32259400861795
2,2.9175,2.5,0.75,3838.8854510876713
3,4.0845,3.5,0.25,477.1752773837532
4,4.0845,3.5,0.75,4261.832520496817
5,4.0845,3.5,1.25,11883.033253969917
6,5.2515,4.5,0.25,668.6545826537608
7,5.2515,4.5,0.75,5944.935757103648
8,5.2515,4.5,1.25,16676.771339230716
9,5.2515,4.5,1.75,32731.208165650613
10,6.4185,5.5,0.25,878.6947224753571
11,6.4185,5.5,0.75,7764.242128523733
12,6.4185,5.5,1.25,21506.151638124655
13,6.4185,5.5,1.75,42449.95270819393
14,6.4185,5.5,2.25,72497.16573414498
15,7.585500000000001,6.5,0.25,1391.6534641221613
16,7.585500000000001,6.5,0.75,12780.989838312964
17,7.585500000000001,6.5,1.25,35329.5570783778
18,7.585500000000001,6.5,1.75,70189.322129772
19,7.585500000000001,6.5,2.25,114976.25050809661
20,7.585500000000001,6.5,2.75,171067.55275602834
21,7.585500000000001,6.5,3.25,242602.42536018905
22,7.585500000000001,6.5,3.75,329822.4884815931
23,8.7525,7.5,0.25,1463.9281132261915
24,8.7525,7.5,0.75,13600.524815204768
25,8.7525,7.5,1.25,37423.37397397241
26,8.7525,7.5,1.75,74702.8640345741
27,8.7525,7.5,2.25,126310.39906448858
28,8.7525,7.5,2.75,197223.45524460508
29,8.7525,7.5,3.25,275227.0994168422
30,8.7525,7.5,3.75,371113.39683077595
31,8.7525,7.5,4.25,449982.1353545276
32,9.919500000000001,8.5,0.25,1472.2864983715658
33,9.919500000000001,8.5,0.75,13228.675462336869
34,9.919500000000001,8.5,1.25,40468.26166790667
35,9.919500000000001,8.5,1.75,80281.34935220705
36,9.919500000000001,8.5,2.25,131868.80209169467
37,9.919500000000001,8.5,2.75,204839.73247572972
38,9.919500000000001,8.5,3.25,257240.2261190755
39,9.919500000000001,8.5,3.75,322983.6446251332
40,9.919500000000001,8.5,4.25,393699.1237801618
41,9.919500000000001,8.5,4.75,474485.2018861203
