,Tp,Te,Hs,Pw
0,1.7505000000000002,1.5,0.25,44.674414260306584
1,2.9175,2.5,0.25,84.50412143977717
2,2.9175,2.5,0.75,684.712554125801
3,4.0845,3.5,0.25,174.57629260808957
4,4.0845,3.5,0.75,1395.2942034340613
5,4.0845,3.5,1.25,3847.808930644564
6,5.2515,4.5,0.25,239.18601088338852
7,5.2515,4.5,0.75,1881.7974700200568
8,5.2515,4.5,1.25,5089.735220060362
9,5.2515,4.5,1.75,9932.365207306844
10,6.4185,5.5,0.25,273.9474447217083
11,6.4185,5.5,0.75,2093.7135288193026
12,6.4185,5.5,1.25,5634.895358904295
13,6.4185,5.5,1.75,10801.910411813267
14,6.4185,5.5,2.25,17855.345015231447
15,7.585500000000001,6.5,0.25,275.4880809118016
16,7.585500000000001,6.5,0.75,2191.9053699595215
17,7.585500000000001,6.5,1.25,5845.190455014943
18,7.585500000000001,6.5,1.75,11445.619943416812
19,7.585500000000001,6.5,2.25,18330.19129647103
20,7.585500000000001,6.5,2.75,26620.95818906476
21,7.585500000000001,6.5,3.25,37374.729447833495
22,7.585500000000001,6.5,3.75,49796.92936327309
23,8.7525,7.5,0.25,280.4914991598278
24,8.7525,7.5,0.75,2171.886927045508
25,8.7525,7.5,1.25,5709.065372831751
26,8.7525,7.5,1.75,11166.149394485195
27,8.7525,7.5,2.25,18570.14133663185
28,8.7525,7.5,2.75,27445.83020437956
29,8.7525,7.5,3.25,38027.15572325299
30,8.7525,7.5,3.75,50260.31146077343
31,8.7525,7.5,4.25,61813.33735921943
32,9.919500000000001,8.5,0.25,271.63124716458856
33,9.919500000000001,8.5,0.75,2087.4882167391042
34,9.919500000000001,8.5,1.25,5750.679411203081
35,9.919500000000001,8.5,1.75,10665.185555402559
36,9.919500000000001,8.5,2.25,17366.590677601187
37,9.919500000000001,8.5,2.75,26100.479854749305
38,9.919500000000001,8.5,3.25,35304.81188365946
39,9.919500000000001,8.5,3.75,45284.15897330008
40,9.919500000000001,8.5,4.25,59332.04191052522
41,9.919500000000001,8.5,4.75,76302.46765686538
42,9.919500000000001,8.5,5.25,91941.01007744865
43,11.086500000000001,9.5,0.25,282.24187581366976
44,11.086500000000001,9.5,0.75,1995.7706957218923
45,11.086500000000001,9.5,1.25,5099.187837920813
46,11.086500000000001,9.5,1.75,10728.648087763455
47,11.086500000000001,9.5,2.25,16587.05882799926
48,11.086500000000001,9.5,2.75,25813.634624778806
49,11.086500000000001,9.5,3.25,32768.11806423856
50,11.086500000000001,9.5,3.75,44076.05307447999
51,11.086500000000001,9.5,4.25,59332.40541604476
52,11.086500000000001,9.5,4.75,70582.52730230917
53,11.086500000000001,9.5,5.25,85121.50512353543
54,11.086500000000001,9.5,5.75,104417.60020239446
55,11.086500000000001,9.5,6.25,119913.35958436294
56,12.2535,10.5,0.25,252.55086096000008
57,12.2535,10.5,0.75,1809.0017810298639
58,12.2535,10.5,1.25,4673.619988458928
59,12.2535,10.5,1.75,9508.418050091796
60,12.2535,10.5,2.25,16229.433191871272
61,12.2535,10.5,2.75,22260.03356949093
62,12.2535,10.5,3.25,30390.23738195695
63,12.2535,10.5,3.75,42795.502938442856
64,12.2535,10.5,4.25,53326.589318714985
65,12.2535,10.5,4.75,61816.553005890986
66,12.2535,10.5,5.25,76123.57310702567
67,12.2535,10.5,5.75,96929.37518349344
68,12.2535,10.5,6.25,103855.23246068622
69,12.2535,10.5,6.75,117755.61835899924
70,12.2535,10.5,7.25,132692.10214142007
71,12.2535,10.5,7.75,147220.07910297028
72,12.2535,10.5,8.25,176411.06282658863
73,13.4205,11.5,0.25,206.46387838132384
74,13.4205,11.5,0.75,1506.17168645575
75,13.4205,11.5,1.25,4190.802711953369
76,13.4205,11.5,1.75,8385.071759243721
77,13.4205,11.5,2.25,13717.307955526685
78,13.4205,11.5,2.75,20111.478892804913
79,13.4205,11.5,3.25,26250.869426518824
80,13.4205,11.5,3.75,35339.445399304575
81,13.4205,11.5,4.25,42984.516442768276
82,13.4205,11.5,4.75,51808.25748919095
83,13.4205,11.5,5.25,64945.73981305016
84,13.4205,11.5,5.75,75438.39034608181
85,13.4205,11.5,6.25,87160.82943395943
86,13.4205,11.5,6.75,97027.15804343135
87,13.4205,11.5,7.25,109166.75346809377
88,13.4205,11.5,7.75,123162.79374761996
89,13.4205,11.5,8.25,143161.38354762137
90,13.4205,11.5,8.75,152495.8139415675
91,14.5875,12.5,0.25,193.92122057701445
92,14.5875,12.5,0.75,1535.8463228442365
93,14.5875,12.5,1.25,4125.931530020552
94,14.5875,12.5,1.75,7428.856030128327
95,14.5875,12.5,2.25,13288.907014179735
96,14.5875,12.5,2.75,18702.298923461803
97,14.5875,12.5,3.25,25841.213135247264
98,14.5875,12.5,3.75,34335.619246058835
99,14.5875,12.5,4.25,44015.3280289389
100,14.5875,12.5,4.75,55006.589645858025
101,14.5875,12.5,5.25,61994.05181801418
102,14.5875,12.5,5.75,72729.20128172309
103,14.5875,12.5,6.25,86979.29167762063
104,14.5875,12.5,6.75,97100.62294862675
105,14.5875,12.5,7.25,106634.57150293731
106,14.5875,12.5,7.75,125708.22470354194
107,14.5875,12.5,8.25,144377.8140312288
108,14.5875,12.5,8.75,149335.25332234986
109,15.7545,13.5,0.25,191.0541237688672
110,15.7545,13.5,0.75,1460.9076399462847
111,15.7545,13.5,1.25,3994.6448475797106
112,15.7545,13.5,1.75,7418.916727234123
113,15.7545,13.5,2.25,11862.444466233443
114,15.7545,13.5,2.75,18240.15677863775
115,15.7545,13.5,3.25,24538.92159383301
116,15.7545,13.5,3.75,31568.571193634634
117,15.7545,13.5,4.25,41011.27217606034
118,15.7545,13.5,4.75,48391.83886128976
119,15.7545,13.5,5.25,57135.509881641134
120,15.7545,13.5,5.75,68739.77472602538
121,15.7545,13.5,6.25,79433.65770069811
122,15.7545,13.5,6.75,91421.04983709836
123,15.7545,13.5,7.25,101463.31823934669
124,15.7545,13.5,7.75,119530.08083051958
125,15.7545,13.5,8.25,124154.28037387083
126,15.7545,13.5,8.75,130889.96004243645
127,16.9215,14.5,0.25,175.28945286297022
128,16.9215,14.5,0.75,1254.6425615926516
129,16.9215,14.5,1.25,3478.0550727990544
130,16.9215,14.5,1.75,6760.3678782893685
131,16.9215,14.5,2.25,10570.053522007132
132,16.9215,14.5,2.75,16282.38217368167
133,16.9215,14.5,3.25,21955.261079195567
134,16.9215,14.5,3.75,29777.452125594307
135,16.9215,14.5,4.25,36177.06732464032
136,16.9215,14.5,4.75,44430.490785079826
137,16.9215,14.5,5.25,49838.65052174792
138,16.9215,14.5,5.75,60021.53497773519
139,16.9215,14.5,6.25,76034.54754238817
140,16.9215,14.5,6.75,80473.01760995878
141,16.9215,14.5,7.25,87824.11489641311
142,16.9215,14.5,7.75,101530.5263634662
143,16.9215,14.5,8.25,122564.17703850825
144,16.9215,14.5,8.75,129264.81612752665
145,18.0885,15.5,0.25,190.6364268009923
146,18.0885,15.5,0.75,1183.5364045740941
147,18.0885,15.5,1.25,3278.228491686838
148,18.0885,15.5,1.75,6457.041917564238
149,18.0885,15.5,2.25,10156.671707133057
150,18.0885,15.5,2.75,14524.700316356602
151,18.0885,15.5,3.25,20339.146432966536
152,18.0885,15.5,3.75,25573.90293702616
153,18.0885,15.5,4.25,33984.30925184197
154,18.0885,15.5,4.75,41398.79564992352
155,18.0885,15.5,5.25,48659.43189455006
156,18.0885,15.5,5.75,56048.18937494937
157,18.0885,15.5,6.25,66687.8135392825
158,18.0885,15.5,6.75,77975.00812372213
159,18.0885,15.5,7.25,85794.16937708705
