,Tp,Te,Hs,Pw
0,1.7505000000000002,1.5,0.25,22.00063819045723
1,2.9175,2.5,0.25,43.72247629267959
2,2.9175,2.5,0.75,361.26308240126775
3,4.0845,3.5,0.25,41.94954955287053
4,4.0845,3.5,0.75,334.87075930267883
5,4.0845,3.5,1.25,855.2461251105815
6,5.2515,4.5,0.25,28.440084449765266
7,5.2515,4.5,0.75,221.5232275496525
8,5.2515,4.5,1.25,590.2573941144308
9,5.2515,4.5,1.75,1117.5598791606278
10,6.4185,5.5,0.25,17.366976167777384
11,6.4185,5.5,0.75,139.9432801418513
12,6.4185,5.5,1.25,380.82575505576307
13,6.4185,5.5,1.75,763.9015237810269
14,6.4185,5.5,2.25,1281.8334054209522
15,7.585500000000001,6.5,0.25,10.181030697866639
16,7.585500000000001,6.5,0.75,86.14134351665547
17,7.585500000000001,6.5,1.25,251.88851167647297
18,7.585500000000001,6.5,1.75,506.76847050852064
19,7.585500000000001,6.5,2.25,870.1129054019124
20,7.585500000000001,6.5,2.75,1338.0841068375935
21,7.585500000000001,6.5,3.25,1919.8949871007637
22,7.585500000000001,6.5,3.75,2560.3808024134764
23,8.7525,7.5,0.25,6.239066322104939
24,8.7525,7.5,0.75,54.97836376073315
25,8.7525,7.5,1.25,168.16528635597442
26,8.7525,7.5,1.75,346.7377934573606
27,8.7525,7.5,2.25,622.038606486727
28,8.7525,7.5,2.75,973.1875424937863
29,8.7525,7.5,3.25,1437.5528512673902
30,8.7525,7.5,3.75,1916.9354855195293
31,8.7525,7.5,4.25,2530.3235687631545
32,9.919500000000001,8.5,0.25,3.9098612526203396
33,9.919500000000001,8.5,0.75,36.452142302060594
34,9.919500000000001,8.5,1.25,112.54955364901828
35,9.919500000000001,8.5,1.75,247.58187186160518
36,9.919500000000001,8.5,2.25,437.28381760535643
37,9.919500000000001,8.5,2.75,721.5907647189829
38,9.919500000000001,8.5,3.25,1051.0601637809016
39,9.919500000000001,8.5,3.75,1446.2512780110471
40,9.919500000000001,8.5,4.25,1935.3892289269131
41,9.919500000000001,8.5,4.75,2527.4868683488057
42,9.919500000000001,8.5,5.25,3089.930025396331
43,11.086500000000001,9.5,0.25,2.5705424695616963
44,11.086500000000001,9.5,0.75,24.351293537870646
45,11.086500000000001,9.5,1.25,78.24547947561824
46,11.086500000000001,9.5,1.75,183.858636034144
47,11.086500000000001,9.5,2.25,328.4028815291967
48,11.086500000000001,9.5,2.75,569.6538129072744
49,11.086500000000001,9.5,3.25,780.2014817643554
50,11.086500000000001,9.5,3.75,1078.170717219737
51,11.086500000000001,9.5,4.25,1584.539348990747
52,11.086500000000001,9.5,4.75,1926.6934161058437
53,11.086500000000001,9.5,5.25,2462.144208910517
54,11.086500000000001,9.5,5.75,2995.3930405664037
55,11.086500000000001,9.5,6.25,3514.2184748784734
56,12.2535,10.5,0.25,1.6974426163875336
57,12.2535,10.5,0.75,16.99894387244575
58,12.2535,10.5,1.25,56.22231552317088
59,12.2535,10.5,1.75,129.92062259292612
60,12.2535,10.5,2.25,259.81301304936926
61,12.2535,10.5,2.75,395.96009753137423
62,12.2535,10.5,3.25,599.5432041864201
63,12.2535,10.5,3.75,889.8940627535615
64,12.2535,10.5,4.25,1154.7220593528803
65,12.2535,10.5,4.75,1442.6398543246778
66,12.2535,10.5,5.25,2012.638530850195
67,12.2535,10.5,5.75,2500.790486331703
68,12.2535,10.5,6.25,2795.718847700465
69,12.2535,10.5,6.75,3309.6917575427897
70,12.2535,10.5,7.25,4024.4341084392854
71,12.2535,10.5,7.75,4318.755758478477
72,12.2535,10.5,8.25,5042.899402059471
73,13.4205,11.5,0.25,1.1420825675069373
74,13.4205,11.5,0.75,11.84029590617963
75,13.4205,11.5,1.25,40.25332968715748
76,13.4205,11.5,1.75,95.02787424918266
77,13.4205,11.5,2.25,186.33815159410082
78,13.4205,11.5,2.75,312.10319005096716
79,13.4205,11.5,3.25,463.2439517877872
80,13.4205,11.5,3.75,706.2576657978624
81,13.4205,11.5,4.25,955.2688282120047
82,13.4205,11.5,4.75,1233.7243958950653
83,13.4205,11.5,5.25,1585.4752986428143
84,13.4205,11.5,5.75,1976.5497398777065
85,13.4205,11.5,6.25,2419.5071761801264
86,13.4205,11.5,6.75,2776.4692097258203
87,13.4205,11.5,7.25,3227.0450550246096
88,13.4205,11.5,7.75,3754.0512543649465
89,13.4205,11.5,8.25,4095.3340415399066
90,13.4205,11.5,8.75,4716.482555294251
91,14.5875,12.5,0.25,0.7849402785886418
92,14.5875,12.5,0.75,8.602484239698535
93,14.5875,12.5,1.25,30.286112984911064
94,14.5875,12.5,1.75,68.7240637110301
95,14.5875,12.5,2.25,139.71454816347318
96,14.5875,12.5,2.75,236.87657436134594
97,14.5875,12.5,3.25,356.0923532498508
98,14.5875,12.5,3.75,555.6000059280624
99,14.5875,12.5,4.25,768.2675623686258
100,14.5875,12.5,4.75,1001.5475163870485
101,14.5875,12.5,5.25,1244.9536649942154
102,14.5875,12.5,5.75,1601.313899477108
103,14.5875,12.5,6.25,1981.4545697995998
104,14.5875,12.5,6.75,2330.9970896638188
105,14.5875,12.5,7.25,2707.2809704322094
106,14.5875,12.5,7.75,3197.611345620623
107,14.5875,12.5,8.25,3721.0804002839413
108,14.5875,12.5,8.75,4038.572922251581
109,15.7545,13.5,0.25,0.551311642828192
110,15.7545,13.5,0.75,6.35065816532552
111,15.7545,13.5,1.25,24.344745816021046
112,15.7545,13.5,1.75,56.26211210381181
113,15.7545,13.5,2.25,104.80376620888619
114,15.7545,13.5,2.75,190.53886102919765
115,15.7545,13.5,3.25,301.523185718853
116,15.7545,13.5,3.75,435.7358486325004
117,15.7545,13.5,4.25,606.8650016833897
118,15.7545,13.5,4.75,782.2886784956978
119,15.7545,13.5,5.25,1069.1104254800834
120,15.7545,13.5,5.75,1283.317723487023
121,15.7545,13.5,6.25,1551.2544168630104
122,15.7545,13.5,6.75,2038.2487028706382
123,15.7545,13.5,7.25,2334.0343109249998
124,15.7545,13.5,7.75,2761.01578714608
125,15.7545,13.5,8.25,3052.626000250653
126,15.7545,13.5,8.75,3236.5084903741417
127,16.9215,14.5,0.25,0.387427817580167
128,16.9215,14.5,0.75,4.496345434342944
129,16.9215,14.5,1.25,17.60424743790757
130,16.9215,14.5,1.75,42.49019125778722
131,16.9215,14.5,2.25,83.68644201846833
132,16.9215,14.5,2.75,152.59947507884837
133,16.9215,14.5,3.25,243.55022769131068
134,16.9215,14.5,3.75,368.1849329882453
135,16.9215,14.5,4.25,490.4169314843574
136,16.9215,14.5,4.75,662.0153434975014
137,16.9215,14.5,5.25,841.3398704743174
138,16.9215,14.5,5.75,1080.501963203245
139,16.9215,14.5,6.25,1399.563620905448
140,16.9215,14.5,6.75,1587.8509448979662
141,16.9215,14.5,7.25,1891.8869847958426
142,16.9215,14.5,7.75,2206.366473688442
143,16.9215,14.5,8.25,2780.912019593203
144,16.9215,14.5,8.75,2922.734246638299
145,18.0885,15.5,0.25,0.2744463840864389
146,18.0885,15.5,0.75,3.262221583122395
147,18.0885,15.5,1.25,13.117497160769261
148,18.0885,15.5,1.75,35.46241477472662
149,18.0885,15.5,2.25,66.01537474317837
150,18.0885,15.5,2.75,115.04773607169406
151,18.0885,15.5,3.25,187.94687405580933
152,18.0885,15.5,3.75,274.14562388363913
153,18.0885,15.5,4.25,417.90903436171794
154,18.0885,15.5,4.75,547.4509471822109
155,18.0885,15.5,5.25,696.6531548615555
156,18.0885,15.5,5.75,884.1219993464412
157,18.0885,15.5,6.25,1163.1864171112204
158,18.0885,15.5,6.75,1426.5417015558903
159,18.0885,15.5,7.25,1554.7642208851773
160,18.0885,15.5,7.75,1881.5978546392862
161,18.0885,15.5,8.25,2201.6335320144967
162,18.0885,15.5,8.75,2710.5965287226363
163,19.2555,16.5,0.25,0.1950811622748137
164,19.2555,16.5,0.75,2.684618613162524
165,19.2555,16.5,1.25,10.927451872494004
166,19.2555,16.5,1.75,27.192312004851686
167,19.2555,16.5,2.25,55.05698086061871
168,19.2555,16.5,2.75,96.44535610466963
169,19.2555,16.5,3.25,162.0252446797451
170,19.2555,16.5,3.75,243.71360084485687
171,19.2555,16.5,4.25,324.67496098900915
172,19.2555,16.5,4.75,426.6297380685458
173,19.2555,16.5,5.25,550.805471364671
174,19.2555,16.5,5.75,762.028419057923
175,19.2555,16.5,6.25,970.706849069344
176,19.2555,16.5,6.75,1123.6774989345183
177,19.2555,16.5,7.25,1356.234801904605
178,19.2555,16.5,7.75,1605.143824332644
179,19.2555,16.5,8.25,1863.5411430170138
180,19.2555,16.5,8.75,2301.085727470366
181,20.4225,17.5,0.25,0.14223574314368267
182,20.4225,17.5,0.75,2.0631576977900212
183,20.4225,17.5,1.25,8.389660655805123
184,20.4225,17.5,1.75,21.16000010752352
185,20.4225,17.5,2.25,44.26061035064074
186,20.4225,17.5,2.75,83.44264961335048
187,20.4225,17.5,3.25,135.94059382918803
188,20.4225,17.5,3.75,194.8567847694355
189,20.4225,17.5,4.25,268.55566878648455
190,20.4225,17.5,4.75,370.5629329289496
191,20.4225,17.5,5.25,441.69183487024173
192,20.4225,17.5,5.75,560.2499352775482
193,20.4225,17.5,6.25,733.6852341966018
194,20.4225,17.5,6.75,989.8691145481974
195,20.4225,17.5,7.25,1145.7726299523251
196,20.4225,17.5,7.75,1369.2750978680597
197,20.4225,17.5,8.25,1531.6033208584477
198,20.4225,17.5,8.75,1711.2672398535435
199,21.5895,18.5,0.25,0.10375421368515712
200,21.5895,18.5,0.75,1.5574434701218651
201,21.5895,18.5,1.25,6.65731455967248
202,21.5895,18.5,1.75,17.682823618008374
203,21.5895,18.5,2.25,32.88248430366566
204,21.5895,18.5,2.75,60.42546827785639
205,21.5895,18.5,3.25,102.3938418034863
206,21.5895,18.5,3.75,151.65076759492794
207,21.5895,18.5,4.25,210.11040372072986
208,21.5895,18.5,4.75,287.15840875821124
209,21.5895,18.5,5.25,394.8721484167224
210,21.5895,18.5,5.75,500.9473525251835
211,21.5895,18.5,6.25,636.8596618329976
212,21.5895,18.5,6.75,784.6986476320915
213,21.5895,18.5,7.25,1009.7656962777598
214,21.5895,18.5,7.75,1138.319172386968
215,21.5895,18.5,8.25,1438.4829649410558
216,21.5895,18.5,8.75,1542.6683180542298
217,22.7565,19.5,0.25,0.07704172220136415
218,22.7565,19.5,0.75,1.1895964717655607
219,22.7565,19.5,1.25,5.287900479124477
220,22.7565,19.5,1.75,14.343136005576415
221,22.7565,19.5,2.25,29.888676992075116
222,22.7565,19.5,2.75,54.62269347576698
